Current Mode,WifiConnected,Bluetooth Connected,Internet Availibility,Current Display Language,Curret Speech Language
Call,YES,NO,YES,ko-KR,en-US
Call,YES,NO,YES,ko-KR,ko-KR
Call,YES,NO,YES,ko-KR,fr-FR
Call,YES,NO,YES,fr-FR,en-US
Call,YES,NO,YES,fr-FR,ko-KR
Call,YES,NO,YES,fr-FR,fr-FR
Call,YES,NO,NO,en-US,en-US
Call,YES,NO,NO,en-US,ko-KR
Call,YES,NO,NO,en-US,fr-FR
Call,YES,NO,NO,ko-KR,en-US
Call,YES,NO,NO,ko-KR,ko-KR
Call,YES,NO,NO,ko-KR,fr-FR
Call,YES,NO,NO,fr-FR,en-US
Call,YES,NO,NO,fr-FR,ko-KR
Call,YES,NO,NO,fr-FR,fr-FR
Call,NO,YES,YES,en-US,en-US
Call,NO,YES,YES,en-US,ko-KR
Call,NO,YES,YES,en-US,fr-FR
Call,NO,YES,YES,ko-KR,en-US
Call,NO,YES,YES,ko-KR,ko-KR
Call,NO,YES,YES,ko-KR,fr-FR
Call,NO,YES,YES,fr-FR,en-US
Call,NO,YES,YES,fr-FR,ko-KR
Call,NO,YES,YES,fr-FR,fr-FR
Call,NO,YES,NO,en-US,en-US
Call,NO,YES,NO,en-US,ko-KR
Call,NO,YES,NO,en-US,fr-FR
Call,NO,YES,NO,ko-KR,en-US
Call,NO,YES,NO,ko-KR,ko-KR
Call,NO,YES,NO,ko-KR,fr-FR
Call,NO,YES,NO,fr-FR,en-US
Call,NO,YES,NO,fr-FR,ko-KR
Call,NO,YES,NO,fr-FR,fr-FR
Call,NO,NO,YES,en-US,en-US
Call,NO,NO,YES,en-US,ko-KR
Call,NO,NO,YES,en-US,fr-FR
Call,NO,NO,YES,ko-KR,en-US
Call,NO,NO,YES,ko-KR,ko-KR
Call,NO,NO,YES,ko-KR,fr-FR
Call,NO,NO,YES,fr-FR,en-US
Call,NO,NO,YES,fr-FR,ko-KR
Call,NO,NO,YES,fr-FR,fr-FR
Call,NO,NO,NO,en-US,en-US
Call,NO,NO,NO,en-US,ko-KR
Call,NO,NO,NO,en-US,fr-FR
Call,NO,NO,NO,ko-KR,en-US
Call,NO,NO,NO,ko-KR,ko-KR
Call,NO,NO,NO,ko-KR,fr-FR
Call,NO,NO,NO,fr-FR,en-US
Call,NO,NO,NO,fr-FR,ko-KR
Call,NO,NO,NO,fr-FR,fr-FR
Game,YES,YES,YES,en-US,en-US
Game,YES,YES,YES,en-US,ko-KR
Game,YES,YES,YES,en-US,fr-FR
Game,YES,YES,YES,ko-KR,en-US
Game,YES,YES,YES,ko-KR,ko-KR
Game,YES,YES,YES,ko-KR,fr-FR
Game,YES,YES,YES,fr-FR,en-US
Game,YES,YES,YES,fr-FR,ko-KR
Game,YES,YES,YES,fr-FR,fr-FR
Game,YES,YES,NO,en-US,en-US
Game,YES,YES,NO,en-US,ko-KR
Game,YES,YES,NO,en-US,fr-FR
Game,YES,YES,NO,ko-KR,en-US
Game,YES,YES,NO,ko-KR,ko-KR
Game,YES,YES,NO,ko-KR,fr-FR
Game,YES,YES,NO,fr-FR,en-US
Game,YES,YES,NO,fr-FR,ko-KR
Game,YES,YES,NO,fr-FR,fr-FR
Game,YES,NO,YES,en-US,en-US
Game,YES,NO,YES,en-US,ko-KR
Game,YES,NO,YES,en-US,fr-FR
Game,YES,NO,YES,ko-KR,en-US
Game,YES,NO,YES,ko-KR,ko-KR
Game,YES,NO,YES,ko-KR,fr-FR
Game,YES,NO,YES,fr-FR,en-US
Game,YES,NO,YES,fr-FR,ko-KR
Game,YES,NO,YES,fr-FR,fr-FR
Game,YES,NO,NO,en-US,en-US
Game,YES,NO,NO,en-US,ko-KR
Game,YES,NO,NO,en-US,fr-FR
Game,YES,NO,NO,ko-KR,en-US
Game,YES,NO,NO,ko-KR,ko-KR
Game,YES,NO,NO,ko-KR,fr-FR
Game,YES,NO,NO,fr-FR,en-US
Game,YES,NO,NO,fr-FR,ko-KR
Game,YES,NO,NO,fr-FR,fr-FR
Game,NO,YES,YES,en-US,en-US
Game,NO,YES,YES,en-US,ko-KR
Game,NO,YES,YES,en-US,fr-FR
Game,NO,YES,YES,ko-KR,en-US
Game,NO,YES,YES,ko-KR,ko-KR
Game,NO,YES,YES,ko-KR,fr-FR
Game,NO,YES,YES,fr-FR,en-US
Game,NO,YES,YES,fr-FR,ko-KR
Game,NO,YES,YES,fr-FR,fr-FR
Game,NO,YES,NO,en-US,en-US
Game,NO,YES,NO,en-US,ko-KR
Game,NO,YES,NO,en-US,fr-FR
Game,NO,YES,NO,ko-KR,en-US
Game,NO,YES,NO,ko-KR,ko-KR
Game,NO,YES,NO,ko-KR,fr-FR
Game,NO,YES,NO,fr-FR,en-US
Game,NO,YES,NO,fr-FR,ko-KR
Game,NO,YES,NO,fr-FR,fr-FR
Game,NO,NO,YES,en-US,en-US
Game,NO,NO,YES,en-US,ko-KR
Game,NO,NO,YES,en-US,fr-FR
Game,NO,NO,YES,ko-KR,en-US
Game,NO,NO,YES,ko-KR,ko-KR
Game,NO,NO,YES,ko-KR,fr-FR
Game,NO,NO,YES,fr-FR,en-US
Game,NO,NO,YES,fr-FR,ko-KR
Game,NO,NO,YES,fr-FR,fr-FR
Game,NO,NO,NO,en-US,en-US
Game,NO,NO,NO,en-US,ko-KR
Game,NO,NO,NO,en-US,fr-FR
Game,NO,NO,NO,ko-KR,en-US
Game,NO,NO,NO,ko-KR,ko-KR
Game,NO,NO,NO,ko-KR,fr-FR
Game,NO,NO,NO,fr-FR,en-US
Game,NO,NO,NO,fr-FR,ko-KR
Game,NO,NO,NO,fr-FR,fr-FR
Music,YES,YES,YES,en-US,en-US
Music,YES,YES,YES,en-US,ko-KR
Music,YES,YES,YES,en-US,fr-FR
Music,YES,YES,YES,ko-KR,en-US
Music,YES,YES,YES,ko-KR,ko-KR
Music,YES,YES,YES,ko-KR,fr-FR
Music,YES,YES,YES,fr-FR,en-US
Music,YES,YES,YES,fr-FR,ko-KR
Music,YES,YES,YES,fr-FR,fr-FR
Music,YES,YES,NO,en-US,en-US
Music,YES,YES,NO,en-US,ko-KR
Music,YES,YES,NO,en-US,fr-FR
Music,YES,YES,NO,ko-KR,en-US
Music,YES,YES,NO,ko-KR,ko-KR
Music,YES,YES,NO,ko-KR,fr-FR
Music,YES,YES,NO,fr-FR,en-US
Music,YES,YES,NO,fr-FR,ko-KR
Music,YES,YES,NO,fr-FR,fr-FR
Music,YES,NO,YES,en-US,en-US
Music,YES,NO,YES,en-US,ko-KR
Music,YES,NO,YES,en-US,fr-FR
Music,YES,NO,YES,ko-KR,en-US
Music,YES,NO,YES,ko-KR,ko-KR
Music,YES,NO,YES,ko-KR,fr-FR
Music,YES,NO,YES,fr-FR,en-US
Music,YES,NO,YES,fr-FR,ko-KR
Music,YES,NO,YES,fr-FR,fr-FR
Music,YES,NO,NO,en-US,en-US
Music,YES,NO,NO,en-US,ko-KR
Music,YES,NO,NO,en-US,fr-FR
Music,YES,NO,NO,ko-KR,en-US
Music,YES,NO,NO,ko-KR,ko-KR
Music,YES,NO,NO,ko-KR,fr-FR
Music,YES,NO,NO,fr-FR,en-US
Music,YES,NO,NO,fr-FR,ko-KR
Music,YES,NO,NO,fr-FR,fr-FR
Music,NO,YES,YES,en-US,en-US
Music,NO,YES,YES,en-US,ko-KR
Music,NO,YES,YES,en-US,fr-FR
Music,NO,YES,YES,ko-KR,en-US
Music,NO,YES,YES,ko-KR,ko-KR
Music,NO,YES,YES,ko-KR,fr-FR
Music,NO,YES,YES,fr-FR,en-US
Music,NO,YES,YES,fr-FR,ko-KR
Music,NO,YES,YES,fr-FR,fr-FR
Music,NO,YES,NO,en-US,en-US
Music,NO,YES,NO,en-US,ko-KR
Music,NO,YES,NO,en-US,fr-FR
Music,NO,YES,NO,ko-KR,en-US
Music,NO,YES,NO,ko-KR,ko-KR
Music,NO,YES,NO,ko-KR,fr-FR
Music,NO,YES,NO,fr-FR,en-US
Music,NO,YES,NO,fr-FR,ko-KR
Music,NO,YES,NO,fr-FR,fr-FR
Music,NO,NO,YES,en-US,en-US
Music,NO,NO,YES,en-US,ko-KR
Music,NO,NO,YES,en-US,fr-FR
Music,NO,NO,YES,ko-KR,en-US
Music,NO,NO,YES,ko-KR,ko-KR
Music,NO,NO,YES,ko-KR,fr-FR
Music,NO,NO,YES,fr-FR,en-US
Music,NO,NO,YES,fr-FR,ko-KR
Music,NO,NO,YES,fr-FR,fr-FR
Music,NO,NO,NO,en-US,en-US
Music,NO,NO,NO,en-US,ko-KR
Music,NO,NO,NO,en-US,fr-FR
Music,NO,NO,NO,ko-KR,en-US
Music,NO,NO,NO,ko-KR,ko-KR
Music,NO,NO,NO,ko-KR,fr-FR
Music,NO,NO,NO,fr-FR,en-US
Music,NO,NO,NO,fr-FR,ko-KR
Music,NO,NO,NO,fr-FR,fr-FR
Video,YES,YES,YES,en-US,en-US
Video,YES,YES,YES,en-US,ko-KR
Video,YES,YES,YES,en-US,fr-FR
Video,YES,YES,YES,ko-KR,en-US
Video,YES,YES,YES,ko-KR,ko-KR
Video,YES,YES,YES,ko-KR,fr-FR
Video,YES,YES,YES,fr-FR,en-US
Video,YES,YES,YES,fr-FR,ko-KR
Video,YES,YES,YES,fr-FR,fr-FR
Video,YES,YES,NO,en-US,en-US
Video,YES,YES,NO,en-US,ko-KR
Video,YES,YES,NO,en-US,fr-FR
Video,YES,YES,NO,ko-KR,en-US
Video,YES,YES,NO,ko-KR,ko-KR
Video,YES,YES,NO,ko-KR,fr-FR
Video,YES,YES,NO,fr-FR,en-US
Video,YES,YES,NO,fr-FR,ko-KR
Video,YES,YES,NO,fr-FR,fr-FR
Video,YES,NO,YES,en-US,en-US
Video,YES,NO,YES,en-US,ko-KR
Video,YES,NO,YES,en-US,fr-FR
Video,YES,NO,YES,ko-KR,en-US
Video,YES,NO,YES,ko-KR,ko-KR
Video,YES,NO,YES,ko-KR,fr-FR
Video,YES,NO,YES,fr-FR,en-US
Video,YES,NO,YES,fr-FR,ko-KR
Video,YES,NO,YES,fr-FR,fr-FR
Video,YES,NO,NO,en-US,en-US
Video,YES,NO,NO,en-US,ko-KR
Video,YES,NO,NO,en-US,fr-FR
Video,YES,NO,NO,ko-KR,en-US
Video,YES,NO,NO,ko-KR,ko-KR
Video,YES,NO,NO,ko-KR,fr-FR
Video,YES,NO,NO,fr-FR,en-US
Video,YES,NO,NO,fr-FR,ko-KR
Video,YES,NO,NO,fr-FR,fr-FR
Video,NO,YES,YES,en-US,en-US
Video,NO,YES,YES,en-US,ko-KR
Video,NO,YES,YES,en-US,fr-FR
Video,NO,YES,YES,ko-KR,en-US
Video,NO,YES,YES,ko-KR,ko-KR
Video,NO,YES,YES,ko-KR,fr-FR
Video,NO,YES,YES,fr-FR,en-US
Video,NO,YES,YES,fr-FR,ko-KR
Video,NO,YES,YES,fr-FR,fr-FR
Video,NO,YES,NO,en-US,en-US
Video,NO,YES,NO,en-US,ko-KR
Video,NO,YES,NO,en-US,fr-FR
Video,NO,YES,NO,ko-KR,en-US
Video,NO,YES,NO,ko-KR,ko-KR
Video,NO,YES,NO,ko-KR,fr-FR
Video,NO,YES,NO,fr-FR,en-US
Video,NO,YES,NO,fr-FR,ko-KR
Video,NO,YES,NO,fr-FR,fr-FR
Video,NO,NO,YES,en-US,en-US
Video,NO,NO,YES,en-US,ko-KR
Video,NO,NO,YES,en-US,fr-FR
Video,NO,NO,YES,ko-KR,en-US
Video,NO,NO,YES,ko-KR,ko-KR
Video,NO,NO,YES,ko-KR,fr-FR
Video,NO,NO,YES,fr-FR,en-US
Video,NO,NO,YES,fr-FR,ko-KR
Video,NO,NO,YES,fr-FR,fr-FR
Video,NO,NO,NO,en-US,en-US
Video,NO,NO,NO,en-US,ko-KR
Video,NO,NO,NO,en-US,fr-FR
Video,NO,NO,NO,ko-KR,en-US
Video,NO,NO,NO,ko-KR,ko-KR
Video,NO,NO,NO,ko-KR,fr-FR
Video,NO,NO,NO,fr-FR,en-US
Video,NO,NO,NO,fr-FR,ko-KR
Video,NO,NO,NO,fr-FR,fr-FR
Apps running,YES,YES,YES,en-US,en-US
Apps running,YES,YES,YES,en-US,ko-KR
Apps running,YES,YES,YES,en-US,fr-FR
Apps running,YES,YES,YES,ko-KR,en-US
Apps running,YES,YES,YES,ko-KR,ko-KR
Apps running,YES,YES,YES,ko-KR,fr-FR
Apps running,YES,YES,YES,fr-FR,en-US
Apps running,YES,YES,YES,fr-FR,ko-KR
Apps running,YES,YES,YES,fr-FR,fr-FR
Apps running,YES,YES,NO,en-US,en-US
Apps running,YES,YES,NO,en-US,ko-KR
Apps running,YES,YES,NO,en-US,fr-FR
Apps running,YES,YES,NO,ko-KR,en-US
Apps running,YES,YES,NO,ko-KR,ko-KR
Apps running,YES,YES,NO,ko-KR,fr-FR
Apps running,YES,YES,NO,fr-FR,en-US
Apps running,YES,YES,NO,fr-FR,ko-KR
Apps running,YES,YES,NO,fr-FR,fr-FR
Apps running,YES,NO,YES,en-US,en-US
Apps running,YES,NO,YES,en-US,ko-KR
Apps running,YES,NO,YES,en-US,fr-FR
Apps running,YES,NO,YES,ko-KR,en-US
Apps running,YES,NO,YES,ko-KR,ko-KR
Apps running,YES,NO,YES,ko-KR,fr-FR
Apps running,YES,NO,YES,fr-FR,en-US
Apps running,YES,NO,YES,fr-FR,ko-KR
Apps running,YES,NO,YES,fr-FR,fr-FR
Apps running,YES,NO,NO,en-US,en-US
Apps running,YES,NO,NO,en-US,ko-KR
Apps running,YES,NO,NO,en-US,fr-FR
Apps running,YES,NO,NO,ko-KR,en-US
Apps running,YES,NO,NO,ko-KR,ko-KR
Apps running,YES,NO,NO,ko-KR,fr-FR
Apps running,YES,NO,NO,fr-FR,en-US
Apps running,YES,NO,NO,fr-FR,ko-KR
Apps running,YES,NO,NO,fr-FR,fr-FR
Apps running,NO,YES,YES,en-US,en-US
Apps running,NO,YES,YES,en-US,ko-KR
Apps running,NO,YES,YES,en-US,fr-FR
Apps running,NO,YES,YES,ko-KR,en-US
Apps running,NO,YES,YES,ko-KR,ko-KR
Apps running,NO,YES,YES,ko-KR,fr-FR
Apps running,NO,YES,YES,fr-FR,en-US
Apps running,NO,YES,YES,fr-FR,ko-KR
Apps running,NO,YES,YES,fr-FR,fr-FR
Apps running,NO,YES,NO,en-US,en-US
Apps running,NO,YES,NO,en-US,ko-KR
Apps running,NO,YES,NO,en-US,fr-FR
Apps running,NO,YES,NO,ko-KR,en-US
Apps running,NO,YES,NO,ko-KR,ko-KR
Apps running,NO,YES,NO,ko-KR,fr-FR
Apps running,NO,YES,NO,fr-FR,en-US
Apps running,NO,YES,NO,fr-FR,ko-KR
Apps running,NO,YES,NO,fr-FR,fr-FR
Apps running,NO,NO,YES,en-US,en-US
Apps running,NO,NO,YES,en-US,ko-KR
Apps running,NO,NO,YES,en-US,fr-FR
Apps running,NO,NO,YES,ko-KR,en-US
Apps running,NO,NO,YES,ko-KR,ko-KR
Apps running,NO,NO,YES,ko-KR,fr-FR
Apps running,NO,NO,YES,fr-FR,en-US
Apps running,NO,NO,YES,fr-FR,ko-KR
Apps running,NO,NO,YES,fr-FR,fr-FR
Apps running,NO,NO,NO,en-US,en-US
Apps running,NO,NO,NO,en-US,ko-KR
Apps running,NO,NO,NO,en-US,fr-FR
Apps running,NO,NO,NO,ko-KR,en-US
Apps running,NO,NO,NO,ko-KR,ko-KR
Apps running,NO,NO,NO,ko-KR,fr-FR
Apps running,NO,NO,NO,fr-FR,en-US
Apps running,NO,NO,NO,fr-FR,ko-KR
Apps running,NO,NO,NO,fr-FR,fr-FR
